time (ms),L2_RQSTS.REFERENCES-0,L2_RQSTS.REFERENCES-1,L2_RQSTS.REFERENCES-2,L2_RQSTS.REFERENCES-3,L2_RQSTS.REFERENCES-4,L2_RQSTS.REFERENCES-5,LONGEST_LAT_CACHE.REFERENCE-0,LONGEST_LAT_CACHE.REFERENCE-1,LONGEST_LAT_CACHE.REFERENCE-2,LONGEST_LAT_CACHE.REFERENCE-3,LONGEST_LAT_CACHE.REFERENCE-4,LONGEST_LAT_CACHE.REFERENCE-5,BR_INST_RETIRED.ALL_BRANCHES-0,BR_INST_RETIRED.ALL_BRANCHES-1,BR_INST_RETIRED.ALL_BRANCHES-2,BR_INST_RETIRED.ALL_BRANCHES-3,BR_INST_RETIRED.ALL_BRANCHES-4,BR_INST_RETIRED.ALL_BRANCHES-5,BR_MISP_RETIRED.ALL_BRANCHES-0,BR_MISP_RETIRED.ALL_BRANCHES-1,BR_MISP_RETIRED.ALL_BRANCHES-2,BR_MISP_RETIRED.ALL_BRANCHES-3,BR_MISP_RETIRED.ALL_BRANCHES-4,BR_MISP_RETIRED.ALL_BRANCHES-5,INST_RETIRED.ANY-0,INST_RETIRED.ANY-1,INST_RETIRED.ANY-2,INST_RETIRED.ANY-3,INST_RETIRED.ANY-4,INST_RETIRED.ANY-5,CPU_CLK_UNHALTED.THREAD-0,CPU_CLK_UNHALTED.THREAD-1,CPU_CLK_UNHALTED.THREAD-2,CPU_CLK_UNHALTED.THREAD-3,CPU_CLK_UNHALTED.THREAD-4,CPU_CLK_UNHALTED.THREAD-5,CPU_CLK_UNHALTED.REF_TSC-0,CPU_CLK_UNHALTED.REF_TSC-1,CPU_CLK_UNHALTED.REF_TSC-2,CPU_CLK_UNHALTED.REF_TSC-3,CPU_CLK_UNHALTED.REF_TSC-4,CPU_CLK_UNHALTED.REF_TSC-5
27,-0.348,-0.153,-0.149,-0.215,-0.118,-0.319,-0.461,-0.189,-0.199,-0.278,-0.140,-0.448,-0.395,-0.190,-0.137,-0.204,-0.137,-0.606,-0.033,-0.014,-0.014,-0.018,-0.013,-0.028,-1.801,-0.887,-0.662,-0.962,-0.645,-2.826,-6.813,-3.214,-2.289,-3.946,-2.352,-6.077,-16.741,-7.083,-5.991,-11.075,-5.888,-11.620
54,9428.148,3552.593,3873.333,3344.444,2740.000,8081.481,12195.556,4369.630,5231.852,4197.037,3482.963,11124.444,9181.481,4420.000,3002.222,7816.296,2906.667,33629.630,765.926,307.407,297.778,335.556,269.630,1001.481,43195.556,20343.704,14328.148,34972.593,13484.444,171838.519,169153.333,73157.037,55077.037,81480.741,54869.630,179351.852,529013.333,228886.667,172120.000,254800.000,171513.333,560820.000
80,6012.308,5305.385,4566.154,4924.615,17688.462,10238.462,7871.538,6883.846,6146.154,6542.308,20386.154,14089.231,6859.231,6320.769,4067.692,4370.769,25902.308,35558.462,533.846,476.154,393.846,399.231,1056.923,1146.154,31093.077,28292.308,18676.154,20684.615,112074.615,179638.462,117188.462,106422.308,64348.462,86343.077,345275.385,230650.000,366750.000,332910.000,201150.000,270360.000,1079460.000,721530.000
107,4418.519,5198.519,3411.111,5035.556,9271.111,10598.519,5567.407,7032.593,3909.630,6603.704,12873.333,14705.926,4912.593,6016.296,7703.704,5492.593,8446.667,31073.333,426.667,414.815,385.926,490.370,864.444,1242.222,22989.630,28052.593,34430.370,25331.852,38595.556,155308.148,93340.000,101477.778,66037.037,98251.852,182013.333,219341.481,291980.000,317546.667,206613.333,307146.667,568966.667,685793.333
133,3776.923,4330.000,3023.846,5229.231,2571.538,6973.077,4308.462,5370.769,4077.692,7196.923,3316.923,9453.077,4662.308,4643.846,3012.308,8130.769,3010.000,29132.308,377.692,450.000,278.462,422.308,291.538,885.385,21513.077,21376.923,14228.462,36559.231,13945.385,146400.769,84239.231,91383.846,57569.231,86243.077,60162.308,189301.538,263520.000,285660.000,180090.000,269550.000,187920.000,592110.000
160,3637.037,4070.370,4206.667,3840.741,2201.481,6273.333,4148.889,5334.815,5531.852,5295.556,2865.926,8403.704,4489.630,4456.296,7702.222,3021.481,2942.963,27492.593,363.704,322.963,421.481,291.852,288.148,865.926,20716.296,20516.296,34472.593,14334.815,13594.815,138348.889,81119.259,75524.444,72897.037,57593.333,54500.741,173101.481,253760.000,235993.333,227500.000,180093.333,170473.333,541406.667
187,2820.000,3808.148,4504.444,5739.259,2034.815,9768.889,3120.000,5122.222,6177.037,8182.222,2524.444,10077.778,2856.296,4471.852,7702.963,4238.519,2948.889,27776.296,205.926,316.296,407.407,408.889,257.037,906.667,13406.667,20525.926,34610.370,20031.111,13612.593,139565.185,59291.111,72610.370,71594.815,87956.296,53547.407,225402.222,185380.000,227326.667,223860.000,275080.000,167266.667,705206.667
214,4400.000,4179.259,3760.000,3699.259,2190.370,7521.481,5353.333,5296.296,5105.185,5029.630,2786.667,8451.852,4900.000,4957.037,2931.111,2993.333,2901.481,31520.741,403.704,387.407,295.556,305.926,256.296,964.444,22838.519,23125.926,13994.074,14048.148,13466.667,155615.556,78194.815,76576.296,54442.222,55943.704,53199.259,217922.963,252286.667,246826.667,179746.667,184166.667,173853.333,688826.667
240,4616.923,5272.308,3840.000,3786.923,2846.154,11883.846,5710.000,6576.923,5173.846,5192.308,2195.385,14658.462,5078.462,5079.231,3016.923,2993.846,3012.308,35439.231,408.462,408.462,286.923,299.231,186.154,1247.692,23605.385,23541.538,14373.846,14163.846,14033.846,174983.077,82471.538,79644.615,57125.385,57575.385,45872.308,278838.462,258030.000,248850.000,178830.000,180090.000,143460.000,872190.000
267,3937.037,3801.481,3552.593,3842.222,3525.926,9055.556,4308.889,4140.741,4891.852,5183.704,4268.148,9759.259,4420.741,4414.815,2867.407,2842.963,7772.593,27559.259,299.259,294.074,255.556,265.185,323.704,856.296,20370.370,20327.407,13524.444,13552.593,34553.333,138798.519,72736.296,71757.778,51205.185,51129.630,81265.185,222622.963,241540.000,238246.667,175760.000,175673.333,267973.333,710146.667
